Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time(mili),Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time(mili),Man. Seq.,
123456780,738246510,20,1814,4,Swap 8 & 5->Swap 3 & 2->Swap 4 & 1->Swap 2 & 3->Swap 7 & 1->Swap 3 & 2->Swap 5 & 1->Swap 7 & 4->Swap 8 & 3->Swap 2 & 8->Swap 3 & 2->Swap 2 & 4->Swap 4 & 2->Swap 8 & 3->Swap 2 & 8->Swap 1 & 8->Swap 1 & 4->Swap 1 & 7->Swap 5 & 7->Swap 4 & 5->DONE,20,110,0,Swap 8 & 5->Swap 3 & 2->Swap 4 & 1->Swap 2 & 3->Swap 7 & 1->Swap 3 & 2->Swap 5 & 1->Swap 7 & 4->Swap 8 & 3->Swap 2 & 8->Swap 3 & 2->Swap 2 & 4->Swap 2 & 7->Swap 8 & 3->Swap 5 & 7->Swap 4 & 5->Swap 1 & 5->Swap 1 & 8->Swap 1 & 2->Swap 5 & 8->DONE,
123456780,125436870,14,100,0,Swap 0 & 8->Swap 6 & 5->Swap 5 & 3->Swap 3 & 6->Swap 8 & 6->Swap 6 & 8->Swap 8 & 0->Swap 2 & 1->Swap 1 & 2->Swap 8 & 7->Swap 7 & 8->Swap 5 & 2->Swap 3 & 5->Swap 2 & 3->DONE,14,45,0,Swap 0 & 8->Swap 6 & 5->Swap 5 & 3->Swap 3 & 6->Swap 8 & 6->Swap 6 & 8->Swap 8 & 0->Swap 2 & 1->Swap 1 & 2->Swap 8 & 7->Swap 7 & 8->Swap 3 & 2->Swap 5 & 3->Swap 2 & 5->DONE,
123456780,123456780,0,0,0,DONE,0,0,0,DONE,
123456780,512036478,14,111,0,Swap 3 & 2->Swap 5 & 3->Swap 2 & 5->Swap 0 & 8->Swap 5 & 2->Swap 0 & 7->Swap 5 & 1->Swap 0 & 4->Swap 4 & 0->Swap 7 & 0->Swap 8 & 0->Swap 1 & 5->Swap 3 & 5->Swap 2 & 3->DONE,14,67,1,Swap 3 & 2->Swap 5 & 3->Swap 2 & 5->Swap 0 & 8->Swap 5 & 2->Swap 0 & 7->Swap 5 & 1->Swap 0 & 4->Swap 1 & 5->Swap 3 & 5->Swap 2 & 3->Swap 4 & 0->Swap 7 & 0->Swap 8 & 0->DONE,
123456780,130752486,14,106,0,Swap 0 & 6->Swap 3 & 2->Swap 0 & 2->Swap 8 & 7->Swap 8 & 4->Swap 6 & 7->Swap 5 & 8->Swap 7 & 6->Swap 7 & 8->Swap 7 & 5->Swap 4 & 7->Swap 2 & 0->Swap 2 & 3->Swap 6 & 0->DONE,14,45,0,Swap 0 & 6->Swap 3 & 2->Swap 0 & 2->Swap 8 & 7->Swap 8 & 4->Swap 6 & 7->Swap 5 & 8->Swap 7 & 6->Swap 7 & 8->Swap 7 & 5->Swap 2 & 0->Swap 2 & 3->Swap 4 & 7->Swap 6 & 0->DONE,
123456780,362017485,20,1954,4,Swap 6 & 5->Swap 3 & 2->Swap 7 & 4->Swap 0 & 8->Swap 3 & 1->Swap 4 & 7->Swap 0 & 7->Swap 6 & 1->Swap 0 & 4->Swap 8 & 7->Swap 7 & 5->Swap 1 & 6->Swap 1 & 3->Swap 2 & 3->Swap 7 & 6->Swap 7 & 0->Swap 4 & 7->Swap 5 & 6->Swap 5 & 0->Swap 6 & 0->DONE,20,111,0,Swap 6 & 5->Swap 3 & 2->Swap 7 & 4->Swap 0 & 8->Swap 3 & 1->Swap 4 & 7->Swap 0 & 7->Swap 6 & 1->Swap 0 & 4->Swap 8 & 7->Swap 7 & 5->Swap 1 & 6->Swap 1 & 3->Swap 2 & 3->Swap 4 & 0->Swap 5 & 7->Swap 5 & 6->Swap 8 & 0->Swap 7 & 0->Swap 7 & 8->DONE,
123456780,213756480,8,23,0,Swap 7 & 4->Swap 4 & 7->Swap 2 & 1->Swap 5 & 4->Swap 4 & 5->Swap 7 & 4->Swap 1 & 2->Swap 4 & 7->DONE,8,23,0,Swap 7 & 4->Swap 4 & 7->Swap 2 & 1->Swap 5 & 4->Swap 4 & 5->Swap 7 & 4->Swap 1 & 2->Swap 4 & 7->DONE,
123456780,843706251,26,4446,22,Swap 8 & 5->Swap 2 & 1->Swap 0 & 6->Swap 6 & 0->Swap 5 & 7->Swap 3 & 1->Swap 4 & 2->Swap 1 & 3->Swap 8 & 1->Swap 8 & 4->Swap 7 & 5->Swap 7 & 2->Swap 0 & 5->Swap 0 & 1->Swap 0 & 4->Swap 4 & 0->Swap 5 & 1->Swap 5 & 0->Swap 2 & 7->Swap 5 & 4->Swap 2 & 8->Swap 4 & 8->Swap 1 & 0->Swap 1 & 8->Swap 1 & 5->Swap 1 & 2->DONE,26,111,1,Swap 8 & 5->Swap 2 & 1->Swap 0 & 6->Swap 6 & 0->Swap 5 & 7->Swap 3 & 1->Swap 4 & 2->Swap 1 & 3->Swap 8 & 1->Swap 8 & 4->Swap 7 & 5->Swap 7 & 2->Swap 0 & 5->Swap 0 & 1->Swap 0 & 4->Swap 4 & 0->Swap 5 & 1->Swap 4 & 8->Swap 2 & 7->Swap 2 & 4->Swap 5 & 0->Swap 1 & 0->Swap 5 & 8->Swap 1 & 8->Swap 1 & 5->Swap 1 & 2->DONE,
123456780,263415870,16,96,0,Swap 8 & 7->Swap 0 & 7->Swap 0 & 5->Swap 7 & 6->Swap 6 & 5->Swap 6 & 0->Swap 0 & 8->Swap 8 & 0->Swap 5 & 7->Swap 2 & 1->Swap 6 & 1->Swap 7 & 0->Swap 7 & 8->Swap 1 & 6->Swap 1 & 2->Swap 5 & 6->DONE,16,45,1,Swap 8 & 7->Swap 0 & 7->Swap 0 & 5->Swap 7 & 6->Swap 6 & 5->Swap 6 & 0->Swap 0 & 8->Swap 8 & 0->Swap 5 & 7->Swap 2 & 1->Swap 6 & 1->Swap 7 & 0->Swap 1 & 6->Swap 1 & 2->Swap 5 & 6->Swap 7 & 8->DONE,
123456780,412356708,14,77,0,Swap 7 & 4->Swap 3 & 2->Swap 6 & 5->Swap 0 & 8->Swap 3 & 1->Swap 6 & 1->Swap 4 & 7->Swap 1 & 6->Swap 4 & 3->Swap 5 & 6->Swap 8 & 0->Swap 3 & 4->Swap 1 & 3->Swap 2 & 3->DONE,14,45,0,Swap 7 & 4->Swap 3 & 2->Swap 6 & 5->Swap 0 & 8->Swap 3 & 1->Swap 6 & 1->Swap 4 & 7->Swap 1 & 6->Swap 4 & 3->Swap 5 & 6->Swap 3 & 4->Swap 1 & 3->Swap 2 & 3->Swap 8 & 0->DONE,
