Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time,Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time,Man. Seq.,
123456780,123405786,12,6,37023,Down->Right->Right->Left->Right->Down->Up->Up->Down->Left->Left->Up->DONE,12,6,42384,Down->Right->Right->Left->Right->Down->Up->Up->Down->Left->Left->Up->DONE,
123456780,123406758,4,6,35499,Right->Down->Up->Left->DONE,4,6,37320,Right->Down->Up->Left->DONE,
123456780,123046758,8,8,48839,Right->Down->Right->Left->Up->Down->Up->Left->DONE,8,8,69565,Right->Down->Right->Left->Up->Down->Up->Left->DONE,
123456780,123056478,12,6,44127,Right->Right->Down->Up->Left->Right->Down->Down->Up->Up->Left->Left->DONE,12,6,40531,Right->Right->Down->Up->Left->Right->Down->Down->Up->Up->Left->Left->DONE,
123456780,136420758,10,11,54690,Right->Down->Down->Left->Up->Down->Right->Up->Up->Left->DONE,10,11,51493,Right->Down->Down->Left->Up->Down->Right->Up->Up->Left->DONE,
123456780,123456780,4,0,3322,Right->Left->Right->Left->DONE,4,0,624,Right->Left->Right->Left->DONE,
123456780,123456780,4,0,935,Right->Left->Right->Left->DONE,4,0,541,Right->Left->Right->Left->DONE,
123456780,162043758,22,23,127447,Right->Down->Left->Down->Right->Up->Right->Left->Left->Right->Left->Right->Down->Left->Right->Left->Up->Up->Down->Right->Up->Left->DONE,22,19,93891,Right->Down->Left->Down->Right->Up->Right->Left->Left->Right->Left->Right->Down->Left->Right->Left->Up->Up->Down->Right->Up->Left->DONE,
123456780,123056478,8,6,28345,Right->Right->Down->Up->Left->Right->Left->Left->DONE,8,6,27811,Right->Right->Down->Up->Left->Right->Left->Left->DONE,
123456780,103426758,16,8,38452,Right->Down->Down->Left->Right->Up->Up->Down->Up->Right->Left->Left->Right->Left->Down->Up->DONE,16,8,35145,Right->Down->Down->Left->Right->Up->Up->Down->Up->Right->Left->Left->Right->Left->Down->Up->DONE,
123456780,123485706,12,8,35685,Down->Right->Up->Down->Left->Up->Right->Right->Left->Left->Down->Up->DONE,12,8,34706,Down->Right->Up->Down->Left->Up->Right->Right->Left->Left->Down->Up->DONE,
