Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time,Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time,Man. Seq.,
123456780,123568470,18,14,110509,Right->Right->Down->Left->Left->Up->Down->Right->Left->Right->Up->Down->Right->Left->Right->Up->Left->Left->DONE,18,12,98210,Right->Right->Down->Left->Left->Up->Down->Right->Left->Right->Up->Down->Right->Left->Right->Up->Left->Left->DONE,
123456780,103426758,12,8,57603,Right->Down->Down->Right->Left->Left->Right->Up->Left->Right->Up->Left->DONE,12,8,101474,Right->Down->Down->Right->Left->Left->Right->Up->Left->Right->Up->Left->DONE,
123456780,123468750,10,11,85565,Right->Down->Left->Up->Down->Up->Down->Right->Up->Left->DONE,10,9,88802,Right->Down->Left->Up->Down->Up->Down->Right->Up->Left->DONE,
123456780,123450786,8,3,21741,Down->Right->Left->Right->Left->Down->Up->Up->DONE,8,3,22557,Down->Right->Left->Right->Left->Down->Up->Up->DONE,
123456780,123456780,4,0,4802,Down->Down->Up->Up->DONE,4,0,1131,Down->Down->Up->Up->DONE,
123456780,123045786,8,8,56532,Down->Right->Right->Up->Down->Left->Left->Up->DONE,8,8,58463,Down->Right->Right->Up->Down->Left->Left->Up->DONE,
123456780,136428750,20,14,188648,Right->Down->Down->Left->Up->Up->Down->Down->Right->Up->Up->Right->Left->Left->Down->Right->Left->Down->Up->Up->DONE,20,12,91251,Right->Down->Down->Left->Up->Up->Down->Down->Right->Up->Up->Right->Left->Left->Down->Right->Left->Down->Up->Up->DONE,
123456780,123405786,10,6,72119,Down->Right->Right->Left->Left->Up->Right->Left->Right->Left->DONE,10,6,30596,Down->Right->Right->Left->Left->Up->Right->Left->Right->Left->DONE,
123456780,23156478,14,7,38420,Right->Right->Down->Down->Up->Up->Left->Left->Right->Left->Down->Down->Up->Up->DONE,14,7,39012,Right->Right->Down->Down->Up->Up->Left->Left->Right->Left->Down->Down->Up->Up->DONE,
123456780,123506478,12,9,63388,Right->Right->Down->Left->Left->Right->Right->Down->Up->Up->Left->Left->DONE,12,9,65695,Right->Right->Down->Left->Left->Right->Right->Down->Up->Up->Left->Left->DONE,
123456780,123485760,16,11,89225,Down->Right->Up->Left->Right->Down->Right->Up->Left->Right->Down->Left->Left->Right->Left->Up->DONE,16,9,82535,Down->Right->Up->Left->Right->Down->Right->Up->Left->Right->Down->Left->Left->Right->Left->Up->DONE,
123456780,123485706,8,8,51068,Down->Right->Up->Down->Down->Up->Left->Up->DONE,8,8,59960,Down->Right->Up->Down->Down->Up->Left->Up->DONE,
123456780,123456708,4,3,18720,Right->Left->Down->Up->DONE,4,3,18856,Right->Left->Down->Up->DONE,
123456780,412506738,26,82,688412,Down->Down->Right->Right->Up->Left->Left->Up->Right->Down->Up->Left->Right->Left->Right->Left->Down->Right->Right->Down->Left->Left->Up->Up->Down->Up->DONE,26,41,391920,Down->Down->Right->Right->Up->Left->Left->Up->Right->Down->Up->Left->Right->Left->Right->Left->Down->Right->Right->Down->Left->Left->Up->Up->Down->Up->DONE,
123456780,120453786,10,4,34030,Down->Down->Up->Up->Down->Right->Left->Up->Right->Left->DONE,10,4,30050,Down->Down->Up->Up->Down->Right->Left->Up->Right->Left->DONE,
123456780,123485706,8,8,49616,Down->Right->Up->Right->Left->Down->Left->Up->DONE,8,8,52417,Down->Right->Up->Right->Left->Down->Left->Up->DONE,
123456780,123405786,10,6,36467,Down->Right->Left->Up->Down->Up->Down->Up->Right->Left->DONE,10,6,41789,Down->Right->Left->Up->Down->Up->Down->Up->Right->Left->DONE,
123456780,123450786,4,3,19724,Down->Down->Up->Up->DONE,4,3,19409,Down->Down->Up->Up->DONE,
123456780,413260758,20,22,190837,Right->Down->Down->Right->Up->Left->Left->Up->Down->Down->Up->Right->Right->Down->Left->Up->Up->Left->Down->Up->DONE,20,19,153281,Right->Down->Down->Right->Up->Left->Left->Up->Down->Down->Up->Right->Right->Down->Left->Up->Up->Left->Down->Up->DONE,
123456780,412053786,10,9,70607,Down->Down->Right->Right->Up->Down->Left->Left->Up->Up->DONE,10,9,89351,Down->Down->Right->Right->Up->Down->Left->Left->Up->Up->DONE,
123456780,130426758,14,9,62360,Right->Down->Down->Left->Right->Up->Up->Left->Right->Left->Down->Up->Down->Up->DONE,14,9,62972,Right->Down->Down->Left->Right->Up->Up->Left->Right->Left->Down->Up->Down->Up->DONE,
123456780,123450786,6,3,15728,Down->Up->Right->Right->Left->Left->DONE,6,3,16472,Down->Up->Right->Right->Left->Left->DONE,
123456780,413725086,12,12,88264,Down->Right->Down->Right->Up->Up->Down->Down->Left->Up->Left->Up->DONE,12,12,90553,Down->Right->Down->Right->Up->Up->Down->Down->Left->Up->Left->Up->DONE,
123456780,123570486,14,29,218503,Right->Right->Down->Left->Up->Left->Down->Up->Right->Down->Right->Up->Left->Left->DONE,14,21,156444,Right->Right->Down->Left->Up->Left->Down->Up->Right->Down->Right->Up->Left->Left->DONE,
123456780,152408763,18,46,753466,Down->Down->Right->Up->Up->Left->Down->Right->Left->Down->Up->Up->Right->Down->Down->Left->Up->Up->DONE,18,22,191566,Down->Down->Right->Up->Up->Left->Down->Right->Left->Down->Up->Up->Right->Down->Down->Left->Up->Up->DONE,
123456780,136420758,16,11,94739,Right->Down->Down->Left->Up->Down->Right->Up->Up->Left->Right->Left->Down->Up->Down->Up->DONE,16,11,191511,Right->Down->Down->Left->Up->Down->Right->Up->Up->Left->Right->Left->Down->Up->Down->Up->DONE,
123456780,123456708,10,3,22682,Right->Left->Down->Up->Down->Down->Right->Left->Up->Up->DONE,10,3,19030,Right->Left->Down->Up->Down->Down->Right->Left->Up->Up->DONE,
123456780,123056478,8,6,42290,Right->Right->Down->Up->Left->Left->Right->Left->DONE,8,6,40687,Right->Right->Down->Up->Left->Left->Right->Left->DONE,
123456780,123450786,14,3,23979,Down->Up->Down->Up->Down->Up->Down->Right->Left->Down->Up->Up->Down->Up->DONE,14,3,21936,Down->Up->Down->Up->Down->Up->Down->Right->Left->Down->Up->Up->Down->Up->DONE,
123456780,123456708,8,3,18770,Right->Right->Down->Down->Up->Up->Left->Left->DONE,8,3,18565,Right->Right->Down->Down->Up->Up->Left->Left->DONE,
123456780,16532478,24,52,423337,Right->Right->Down->Left->Down->Left->Up->Right->Down->Right->Left->Up->Left->Down->Right->Up->Left->Up->Down->Right->Right->Up->Left->Left->DONE,24,26,215743,Right->Right->Down->Left->Down->Left->Up->Right->Down->Right->Left->Up->Left->Down->Right->Up->Left->Up->Down->Right->Right->Up->Left->Left->DONE,
123456780,123450786,8,3,20433,Down->Up->Right->Left->Right->Left->Right->Left->DONE,8,3,18847,Down->Up->Right->Left->Right->Left->Right->Left->DONE,
123456780,410532786,18,25,198196,Down->Down->Right->Right->Up->Left->Left->Down->Up->Right->Right->Down->Left->Left->Up->Up->Down->Up->DONE,18,16,123358,Down->Down->Right->Right->Up->Left->Left->Down->Up->Right->Right->Down->Left->Left->Up->Up->Down->Up->DONE,
123456780,123456780,6,0,2324,Right->Left->Down->Up->Down->Up->DONE,6,0,4246,Right->Left->Down->Up->Down->Up->DONE,
123456780,123405786,6,6,44134,Down->Right->Left->Up->Right->Left->DONE,6,6,36626,Down->Right->Left->Up->Right->Left->DONE,
123456780,123456780,6,0,2170,Right->Left->Down->Down->Up->Up->DONE,6,0,1537,Right->Left->Down->Down->Up->Up->DONE,
123456780,123485076,12,9,62132,Down->Right->Up->Right->Left->Right->Left->Left->Right->Down->Left->Up->DONE,12,9,64430,Down->Right->Up->Right->Left->Right->Left->Left->Right->Down->Left->Up->DONE,
123456780,123456780,8,0,5775,Right->Down->Up->Right->Left->Right->Left->Left->DONE,8,0,4194,Right->Down->Up->Right->Left->Right->Left->Left->DONE,
123456780,123085476,16,11,80489,Down->Right->Up->Right->Down->Up->Left->Down->Left->Up->Right->Left->Right->Right->Left->Left->DONE,16,11,83245,Down->Right->Up->Right->Down->Up->Left->Down->Left->Up->Right->Left->Right->Right->Left->Left->DONE,
123456780,123085476,18,11,82669,Down->Right->Up->Right->Down->Up->Left->Down->Left->Up->Right->Right->Left->Left->Right->Left->Right->Left->DONE,18,11,73160,Down->Right->Up->Right->Down->Up->Left->Down->Left->Up->Right->Right->Left->Left->Right->Left->Right->Left->DONE,
123456780,123456780,6,0,1656,Right->Left->Right->Down->Up->Left->DONE,6,0,8701,Right->Left->Right->Down->Up->Left->DONE,
123456780,123456708,4,3,29591,Right->Left->Down->Up->DONE,4,3,12249,Right->Left->Down->Up->DONE,
123456780,123485076,12,9,48915,Down->Right->Up->Right->Left->Left->Right->Down->Right->Left->Left->Up->DONE,12,9,66061,Down->Right->Up->Right->Left->Left->Right->Down->Right->Left->Left->Up->DONE,
