Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time,Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time,Man. Seq.
123456780,123456708,9,3,87009,Right->Left->Right->Down->Right->Left->Up->Left->Right->DONE,9,3,76673,Right->Left->Right->Down->Right->Left->Up->Left->Right->DONE
123456780,13426758,9,9,136614,Right->Down->Down->Right->Left->Up->Up->Left->Right->DONE,9,9,113065,Right->Down->Down->Right->Left->Up->Up->Left->Right->DONE
123456780,123406758,9,6,88629,Right->Down->Up->Right->Down->Left->Right->Up->Left->DONE,9,6,236977,Right->Down->Up->Right->Down->Left->Right->Up->Left->DONE
123456780,12453786,9,7,162463,Down->Down->Right->Right->Left->Left->Up->Up->Right->DONE,9,7,147683,Down->Down->Right->Right->Left->Left->Up->Up->Right->DONE
123456780,123560478,9,11,163879,Right->Right->Down->Left->Left->Right->Right->Up->Left->DONE,9,11,190722,Right->Right->Down->Left->Left->Right->Right->Up->Left->DONE
123456780,123045786,9,8,109414,Down->Right->Right->Left->Right->Left->Left->Up->Right->DONE,9,8,76771,Down->Right->Right->Left->Right->Left->Left->Up->Right->DONE
123456780,123456780,9,0,12024,Right->Down->Down->Right->Left->Right->Left->Up->Up->DONE,9,0,9348,Right->Down->Down->Right->Left->Right->Left->Up->Up->DONE
123456780,13426758,9,9,134179,Right->Down->Down->Right->Left->Up->Up->Right->Left->DONE,9,9,153004,Right->Down->Down->Right->Left->Up->Up->Right->Left->DONE
123456780,123405786,9,6,71828,Down->Right->Left->Down->Up->Up->Right->Left->Right->DONE,9,6,90839,Down->Right->Left->Down->Up->Up->Right->Left->Right->DONE
123456780,123046758,9,8,83893,Right->Down->Right->Left->Left->Up->Down->Right->Up->DONE,9,8,98964,Right->Down->Right->Left->Left->Up->Down->Right->Up->DONE
123456780,123746508,9,15,173115,Right->Down->Right->Up->Left->Right->Down->Left->Up->DONE,9,12,152954,Right->Down->Right->Up->Left->Right->Down->Left->Up->DONE
123456780,23146758,9,9,80272,Right->Down->Right->Down->Up->Left->Down->Up->Up->DONE,9,9,86583,Right->Down->Right->Down->Up->Left->Down->Up->Up->DONE
123456780,123406758,9,6,49872,Right->Down->Down->Up->Up->Down->Up->Left->Right->DONE,9,6,54253,Right->Down->Down->Up->Up->Down->Up->Left->Right->DONE
123456780,23146758,9,9,80913,Right->Down->Right->Down->Up->Down->Up->Left->Up->DONE,9,9,90835,Right->Down->Right->Down->Up->Down->Up->Left->Up->DONE
123456780,23156478,9,7,75830,Right->Right->Down->Down->Up->Down->Up->Up->Left->DONE,9,7,106982,Right->Right->Down->Down->Up->Down->Up->Up->Left->DONE
123456780,120453786,9,4,40809,Down->Down->Right->Left->Up->Up->Right->Right->Left->DONE,9,4,39702,Down->Down->Right->Left->Up->Up->Right->Right->Left->DONE
123456780,123456708,9,3,27865,Right->Right->Left->Right->Down->Down->Up->Up->Left->DONE,9,3,26746,Right->Right->Left->Right->Down->Down->Up->Up->Left->DONE
123456780,120463758,9,9,46210,Right->Down->Left->Down->Up->Down->Up->Right->Up->DONE,9,9,47076,Right->Down->Left->Down->Up->Down->Up->Right->Up->DONE
123456780,123456708,9,3,15275,Right->Right->Left->Left->Down->Up->Right->Down->Up->DONE,9,3,13894,Right->Right->Left->Left->Down->Up->Right->Down->Up->DONE
123456780,123456708,9,3,15372,Right->Down->Up->Left->Right->Left->Down->Up->Right->DONE,9,3,14241,Right->Down->Up->Left->Right->Left->Down->Up->Right->DONE
123456780,120453786,9,4,21420,Down->Down->Up->Up->Right->Left->Down->Up->Right->DONE,9,4,22817,Down->Down->Up->Up->Right->Left->Down->Up->Right->DONE
123456780,123456078,9,4,26205,Right->Right->Down->Up->Left->Right->Down->Up->Left->DONE,9,4,23095,Right->Right->Down->Up->Left->Right->Down->Up->Left->DONE
123456780,12453786,9,7,37444,Down->Down->Right->Right->Left->Left->Up->Up->Right->DONE,9,7,38825,Down->Down->Right->Right->Left->Left->Up->Up->Right->DONE
123456780,123468750,9,11,56059,Right->Down->Left->Up->Right->Left->Down->Right->Up->DONE,9,9,45084,Right->Down->Left->Up->Right->Left->Down->Right->Up->DONE
123456780,152403786,9,9,44553,Down->Down->Right->Up->Down->Left->Up->Up->Right->DONE,9,9,50459,Down->Down->Right->Up->Down->Left->Up->Up->Right->DONE
123456780,123506478,9,9,45362,Right->Right->Down->Left->Right->Up->Down->Up->Left->DONE,9,9,47890,Right->Right->Down->Left->Right->Up->Down->Up->Left->DONE
123456780,123460758,9,8,55958,Right->Down->Left->Up->Down->Right->Up->Down->Up->DONE,9,8,61544,Right->Down->Left->Up->Down->Right->Up->Down->Up->DONE
123456780,123506478,9,9,70465,Right->Right->Down->Left->Right->Down->Up->Up->Left->DONE,9,9,70156,Right->Right->Down->Left->Right->Down->Up->Up->Left->DONE
123456780,123468750,9,11,83455,Right->Down->Left->Up->Down->Right->Up->Down->Up->DONE,9,9,72345,Right->Down->Left->Up->Down->Right->Up->Down->Up->DONE
123456780,123056478,9,6,30006,Right->Right->Down->Left->Right->Down->Up->Up->Left->DONE,9,6,29629,Right->Right->Down->Left->Right->Down->Up->Up->Left->DONE
123456780,413726058,11,12,147077,Right->Down->Down->Right->Up->Up->Down->Down->Left->Up->Up->DONE,11,12,2337452,Right->Down->Down->Right->Up->Up->Down->Down->Left->Up->Up->DONE
123456780,123046758,11,8,119663,Right->Down->Right->Up->Down->Left->Right->Left->Left->Right->Up->DONE,11,8,158305,Right->Down->Right->Up->Down->Left->Right->Left->Left->Right->Up->DONE
123456780,123456780,11,0,11683,Right->Down->Down->Left->Right->Up->Right->Down->Up->Left->Up->DONE,11,0,16683,Right->Down->Down->Left->Right->Up->Right->Down->Up->Left->Up->DONE
123456780,103526478,11,11,162139,Right->Right->Down->Left->Down->Up->Right->Up->Left->Right->Left->DONE,11,11,181639,Right->Right->Down->Left->Down->Up->Right->Up->Left->Right->Left->DONE
123456780,120453786,11,4,32715,Down->Down->Up->Up->Down->Up->Down->Right->Left->Up->Right->DONE,11,4,54237,Down->Down->Up->Up->Down->Up->Down->Right->Left->Up->Right->DONE
123456780,152403786,11,9,122460,Down->Down->Right->Up->Left->Right->Down->Left->Up->Up->Right->DONE,11,9,163150,Down->Down->Right->Up->Left->Right->Down->Left->Up->Up->Right->DONE
123456780,123456078,11,4,60558,Right->Right->Left->Right->Left->Right->Left->Right->Left->Left->Right->DONE,11,4,59559,Right->Right->Left->Right->Left->Right->Left->Right->Left->Left->Right->DONE
123456780,123745086,11,9,95526,Down->Right->Right->Up->Left->Right->Down->Left->Left->Up->Right->DONE,11,9,125197,Down->Right->Right->Up->Left->Right->Down->Left->Left->Up->Right->DONE
123456780,123405786,11,6,73546,Down->Right->Left->Up->Down->Down->Up->Up->Right->Left->Right->DONE,11,6,72217,Down->Right->Left->Up->Down->Down->Up->Up->Right->Left->Right->DONE
123456780,123450786,11,3,37425,Down->Down->Right->Left->Up->Up->Right->Down->Up->Right->Left->DONE,11,3,36908,Down->Down->Right->Left->Up->Up->Right->Down->Up->Right->Left->DONE
123456780,123506478,11,9,106999,Right->Right->Down->Left->Down->Left->Right->Up->Right->Up->Left->DONE,11,9,113600,Right->Right->Down->Left->Down->Left->Right->Up->Right->Up->Left->DONE
123456780,203156478,11,9,133511,Right->Right->Down->Down->Left->Right->Up->Down->Up->Up->Left->DONE,11,9,124645,Right->Right->Down->Down->Left->Right->Up->Down->Up->Up->Left->DONE
